"Date","Time","Group","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"28/06/2014","12:01:53 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 1","Leaf 1",0,0,0,1,0,0,0,152.9897192,-25.44766199,NA
"28/06/2014","12:02:20 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 1","Leaf 2",0,0,0,1,0.25,1,0,152.9897192,-25.44766199,NA
"28/06/2014","12:02:45 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 1","Leaf 3",0,0,0,0,0,0,0,152.9897192,-25.44766199,NA
"28/06/2014","12:05:05 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 1","Leaf 3",0,0,0,0,0,0,0,152.9897192,-25.44766199,NA
"28/06/2014","12:05:25 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 1","Leaf 4",0,0,0,1,0.05,0,0,152.9897192,-25.44766199,NA
"28/06/2014","12:06:03 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 1","Leaf 5",0,0,0,1,0.2,5,0,152.9897192,-25.44766199,NA
"28/06/2014","12:06:26 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 1","Leaf 6",0,0,0,1,0.1,0,0,152.9897192,-25.44766199,NA
"28/06/2014","12:07:45 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 2","Leaf 1",0,0,0,1,0.05,3,0,152.9897192,-25.44766199,NA
"28/06/2014","12:08:18 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 2","Leaf 2",0,0,0,1,0.5,0,0,152.9897192,-25.44766199,NA
"28/06/2014","12:08:42 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 2","Leaf 3",0,0,0,1,0,2,0,152.9897192,-25.44766199,NA
"28/06/2014","12:08:58 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 2","Leaf 4",0,0,0,1,0.05,5,0,152.9897192,-25.44766199,NA
"28/06/2014","12:09:24 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 2","Leaf 5",0,0,0,1,0.05,3,0,152.9897192,-25.44766199,NA
"28/06/2014","12:09:41 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 2","Leaf 6",0,0,0,0,0.03,1,0,152.9897192,-25.44766199,NA
"28/06/2014","12:10:27 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 3","Leaf 1",1,1,0,1,0.05,7,0,152.9897192,-25.44766199,NA
"28/06/2014","12:10:54 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 3","Leaf 2",1,1,0,0,0,5,0,152.9897192,-25.44766199,NA
"28/06/2014","12:11:37 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 3","Leaf 3",1,1,0,0,0.1,11,0,152.9897192,-25.44766199,NA
"28/06/2014","12:12:09 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 3","Leaf 4",1,1,0,0,0.1,12,0,152.9897192,-25.44766199,NA
"28/06/2014","12:12:24 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 3","Leaf 5",1,1,0,1,0.05,0,0,152.9897192,-25.44766199,NA
"28/06/2014","12:12:42 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 3","Leaf 6",1,1,0,1,0.05,3,0,152.9897192,-25.44766199,NA
"28/06/2014","12:13:23 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 4","Leaf 1",1,0,0,1,0.05,3,0,152.9897192,-25.44766199,NA
"28/06/2014","12:13:40 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 4","Leaf 2",1,0,0,1,0.05,5,0,152.9897192,-25.44766199,NA
"28/06/2014","12:14:01 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 4","Leaf 3",1,0,0,0,0,8,0,152.9897192,-25.44766199,NA
"28/06/2014","12:14:48 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 4","Leaf 4",1,0,0,1,0.05,0,0,152.9897192,-25.44766199,NA
"28/06/2014","12:15:00 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 4","Leaf 5",1,0,0,1,0.05,4,0,152.9897192,-25.44766199,NA
"28/06/2014","12:15:13 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 4","Leaf 6",1,0,0,0,0.15,0,0,152.9897192,-25.44766199,NA
"28/06/2014","12:15:49 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 5","Leaf 1",1,0,0,1,0.05,3,0,152.9897192,-25.44766199,NA
"28/06/2014","12:15:58 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 5","Leaf 2",1,0,0,1,0,0,0,152.9897192,-25.44766199,NA
"28/06/2014","12:16:07 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 5","Leaf 3",1,0,0,1,0,0,0,152.9897192,-25.44766199,NA
"28/06/2014","12:16:18 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 5","Leaf 4",1,0,0,1,0,0,0,152.9897192,-25.44766199,NA
"28/06/2014","12:16:30 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 5","Leaf 5",1,0,0,1,0.05,4,0,152.9897192,-25.44766199,NA
"28/06/2014","12:16:37 PM","claire","Landward - Creek",68,"Quarter 1",1.2,1,8,"Stem 5","Leaf 6",1,0,0,1,0,0,0,152.9897192,-25.44766199,NA
