"Date","Time","Longitude","Latitude","Group","Quadrat size","Vegetation type","Quadrat #","Tallest tree","Foliage cover","Ground cover","Litter depth","Small trees","Shrub size","Acacia Dominant","Angophora Dominant","Araucaria Dominant","Banksia Dominant","Callitris Dominant","Casuarina Dominant","Eucalyptus Dominant","Lophostemon Dominant","Melaleuca Dominant","Syncarpia Dominant","Acacia DBH>10cm","Angophora DBH>10cm","Araucaria DBH>10cm","Banksia DBH>10cm","Callitris DBH>10cm","Casuarina DBH>10cm","Eucalyptus DBH>10cm","Lophostemon DBH>10cm","Melaleuca DBH>10cm","Syncarpia DBH>10cm","Week","Tree Species Name","Tree Species DBH","area","Basal Area","Frequency","Density","Relative Basal Area","Relative Frequency","Relative Density","Relative Importance"
"6/07/2014","01:00:00 AM",NA,NA,"Blue 2","10x10m","Rainforest",1,21,0.87,NA,0.26,NA,"0.403",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/07/2014","01:00:00 AM",NA,NA,"Blue 2","10x10m","Rainforest",2,21,0.93,NA,2,NA,"0.403",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/07/2014","01:00:00 AM",NA,NA,"Blue 2","10x10m","Rainforest",3,21,0.73,NA,1.5,NA,"0.403",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/07/2014","01:00:00 AM",NA,NA,"Blue 2","10x10m","Rainforest",4,21,0.72,NA,1.25,NA,"0.403",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3/07/2014","00:00:00 AM",NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",1,21.92,0.7925,NA,4,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1","",NA,196,NA,NA,NA,NA,NA,NA,NA
"3/07/2014","00:00:00 AM",NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",2,21.92,NA,NA,1.5,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1","",NA,196,NA,NA,NA,NA,NA,NA,NA
"3/07/2014","00:00:00 AM",NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",3,21.92,NA,0.3,3,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1","",NA,196,NA,NA,NA,NA,NA,NA,NA
"3/07/2014","00:00:00 AM",NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",4,21.92,NA,0.55,2,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1","",NA,196,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1","Eucalyptus",NA,NA,67.6353503184713,7,0.0357142857142857,0.84,0.47,0.47,0.59
NA,NA,NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1","Monotoca",NA,NA,6.05095541401274,4,0.0204081632653061,0.08,0.27,0.27,0.21
NA,NA,NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1","Acacia",NA,NA,3.26433121019108,2,0.0102040816326531,0.04,0.13,0.13,0.1
NA,NA,NA,NA,"blue","14x14m","Tall Open forest (Blackbutt_Satinay)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Week 1","Banksia",NA,NA,3.62261146496815,2,0.0102040816326531,0.04,0.13,0.13,0.1
