Date,Time,Group name, Quadrat size,Vegetation type,data entry,Quadrat #,Tallest tree,foliage cover,ground cover,litter depth,DBH,small trees,Latitude,Longitude,Shrub size,DBH>10,Acacia,Angophora,Araucaria,Banksia,Callitris,Casuarina,Eucalyptus,Lophostemon,Melaleuca,Syncarpia
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),Dominant Trees,,21.92,,,,,,,,,,,,,,,,TRUE,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),Vegetation Assessment,1,,79.25,NA,4,,,,,,,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),Vegetation Assessment,2,,NA,NA,1.5,,,,,,,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),Vegetation Assessment,3,,NA,30,3,,,,,,,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),Vegetation Assessment,4,,NA,55,2,,,,,,,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),Shrubs,,,,,,,,,,NA,,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),Count small trees (trunk<10cms),,,,,,,NA,,,,,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,245,,,,,Eucalyptus,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,212,,,,,Eucalyptus,,,,,,,,,,
3/07/2014,01:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,36.5,,,,,Eucalyptus,,,,,,,,,,
3/07/2014,02:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,32,,,,,Monotoca,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,30,,,,,Acacia,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,11,,,,,Acacia,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,112,,,,,Eucalyptus,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,127,,,,,Eucalyptus,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,67,,,,,Eucalyptus,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,50,,,,,Eucalyptus,,,,,,,,,,
3/07/2014,01:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,12.5,,,,,Monotoca,,,,,,,,,,
3/07/2014,02:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,13,,,,,Monotoca,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,18.5,,,,,Monotoca,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,32,,,,,Banksia,,,,,,,,,,
3/07/2014,00:00:00 AM,blue,14x14m,Tall Open forest (Blackbutt_Satinay),DBH when trunk >10cms,,,,,,13.5,,,,,Banksia,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,Dominant Trees,,6.25,,,,,,,,,,,,,TRUE,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,Vegetation Assessment,1,,77,85,4,,,,,,,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,Vegetation Assessment,2,,67,60,4,,,,,,,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,Shrubs,,,,,,,,,,NA,,,,,,,,,,,
2/07/2014,00:00:00 AM,yellow,10x10m,Foredunes,Count small trees (trunk<10cms),,,,,,,NA,,,,,,,,,,,,,,
