SpeciesName,Area,Group,Longitude,Latitude,Height,Frequency,FreqPerQuart,TreesPerHA,RelativeDensity,MeanBA,TotalBAPerHA,RelativeCover,RelativeFrequency,RelativeImportance
Rhizophora stylosa,Seaward,mangroovy,152.987927006667,-25.447470556,2.23181818181818,44,0.733333333333333,1474.65932018205,73.3333333333333,15.0454545454545,2.218691977183,1.87796375499327,2.06185567010309,77.2731527584297
Lumnitzera racemosa,Seaward,mangroovy,152.987927006667,-25.447470556,3.4,1,0.0166666666666667,33.5149845495921,1.66666666666667,17,0.0569754737343066,0.0482256553397063,0.687285223367697,2.40217754537407
Avicennia marina,Seaward,mangroovy,152.987927006667,-25.447470556,3.11538461538462,13,0.216666666666667,435.694799144698,21.6666666666667,34.0307692307692,1.48270291647396,1.25500176013447,2.06185567010309,24.9835240969042
Aegialitis annulata,Seaward,mangroovy,152.987927006667,-25.447470556,0.3,1,0.0166666666666667,33.5149845495921,1.66666666666667,8.2,0.0274822873306655,0.0232617866932701,0.687285223367697,2.37721367672763
Aegiceras corniculatum,Seaward,mangroovy,152.987927006667,-25.447470556,0.7,1,0.0166666666666667,33.5149845495921,1.66666666666667,10,0.0335149845495921,0.0283680325527684,0.687285223367697,2.38231992258713
Ceriops australis,Seaward,mangroovy,152.987927006667,-25.447470556,NA,0,0,0,0,0,0,0,0,0
Other?,Seaward,mangroovy,152.987927006667,-25.447470556,NA,0,0,0,0,0,0,0,0,0
Osbornia octodonta,Seaward,mangroovy,152.987927006667,-25.447470556,NA,0,0,0,0,0,0,0,0,0
Osbournia octodonta,Seaward,mangroovy,152.987927006667,-25.447470556,NA,0,0,0,0,0,0,0,0,0
Osbournia,Seaward,mangroovy,152.987927006667,-25.447470556,NA,0,0,0,0,0,0,0,0,0
Rhizophora stylosa,Seaward,brittsar(kf),152.988093479012,-25.4473070987654,1.79090909090909,77,0.905882352941176,4470.32306536439,90.5882352941177,13.5194805194805,6.04364455979783,5.11551199899905,2.06185567010309,97.7656029632198
Lumnitzera racemosa,Seaward,brittsar(kf),152.988093479012,-25.4473070987654,NA,0,0,0,0,0,0,0,0,0
Avicennia marina,Seaward,brittsar(kf),152.988093479012,-25.4473070987654,6.1,1,0.0117647058823529,58.056143706031,1.17647058823529,61,0.354142476606789,0.299756226646438,0.687285223367697,2.16351203824943
Aegialitis annulata,Seaward,brittsar(kf),152.988093479012,-25.4473070987654,2.98571428571429,7,0.0823529411764706,406.393005942217,8.23529411764706,30.5714285714286,1.24240147530906,1.05160381151373,1.37457044673539,10.6614683758962
Aegiceras corniculatum,Seaward,brittsar(kf),152.988093479012,-25.4473070987654,NA,0,0,0,0,0,0,0,0,0
Ceriops australis,Seaward,brittsar(kf),152.988093479012,-25.4473070987654,NA,0,0,0,0,0,0,0,0,0
Other?,Seaward,brittsar(kf),152.988093479012,-25.4473070987654,NA,0,0,0,0,0,0,0,0,0
