Color,Group_Name,Plot_ID,Location,Grid_Cell,Size
Blue,Blue Smurfs,1,Sun,S1,20
Blue,Blue Smurfs,1,Sun,O2,9
Blue,Blue Smurfs,1,Sun,L3,9
Blue,Blue Smurfs,1,Sun,P3,20
Blue,Blue Smurfs,1,Sun,P4,12
Blue,Blue Smurfs,1,Sun,K4,7
Blue,Blue Smurfs,1,Sun,T4,10
Blue,Blue Smurfs,1,Sun,M7,15
Blue,Blue Smurfs,1,Sun,R7,20
Blue,Blue Smurfs,1,Sun,R7,11
Blue,Blue Smurfs,1,Sun,T7,16
Blue,Blue Smurfs,1,Sun,T10,20
Blue,Blue Smurfs,1,Sun,P9,6
Blue,Blue Smurfs,1,Sun,K10,13
Blue,Blue Smurfs,1,Sun,P11,14
Blue,Blue Smurfs,1,Sun,S12,8
Blue,Blue Smurfs,1,Sun,K12,5
Blue,Blue Smurfs,1,Sun,P13,5
Blue,Blue Smurfs,1,Sun,Q13,5
Blue,Blue Smurfs,1,Sun,O15,22
Blue,Blue Smurfs,1,Sun,O15,10
Blue,Blue Smurfs,1,Sun,L16,11
Blue,Blue Smurfs,1,Sun,L16,5
Blue,Blue Smurfs,1,Sun,N18,4
Blue,Blue Smurfs,1,Sun,O18,10
Blue,Blue Smurfs,1,Sun,M20,4
Blue,Blue Smurfs,1,Sun,E3,6
Blue,Blue Smurfs,1,Sun,G3,45
Blue,Blue Smurfs,1,Sun,G3,5
Blue,Blue Smurfs,1,Sun,J1,15
Blue,Blue Smurfs,1,Sun,I1,25
Blue,Blue Smurfs,1,Sun,D7,16
Blue,Blue Smurfs,1,Sun,D9,5
Blue,Blue Smurfs,1,Sun,A6,15
Blue,Blue Smurfs,1,Sun,H8,20
Blue,Blue Smurfs,1,Sun,H9,10
Blue,Blue Smurfs,1,Sun,E8,30
Blue,Blue Smurfs,1,Sun,B4,10
Blue,Blue Smurfs,1,Sun,C11,14
Blue,Blue Smurfs,1,Sun,D11,26
Blue,Blue Smurfs,1,Sun,H11,20
Blue,Blue Smurfs,1,Sun,H12,13
Blue,Blue Smurfs,1,Sun,A13,14
Blue,Blue Smurfs,1,Sun,A14,12
Blue,Blue Smurfs,1,Sun,J15,18
Blue,Blue Smurfs,1,Sun,F16,10
Blue,Blue Smurfs,1,Sun,I17,15
Blue,Blue Smurfs,1,Sun,J18,5
Blue,Blue Smurfs,2,Sun,O2,9
Blue,Blue Smurfs,2,Sun,O2,20
Blue,Blue Smurfs,2,Sun,L3,4
Blue,Blue Smurfs,2,Sun,K3,10
Blue,Blue Smurfs,2,Sun,N6,13
Blue,Blue Smurfs,2,Sun,Q8,13
Blue,Blue Smurfs,2,Sun,Q9,12
Blue,Blue Smurfs,2,Sun,K9,10
Blue,Blue Smurfs,2,Sun,P12,8
Blue,Blue Smurfs,2,Sun,O12,12
Blue,Blue Smurfs,2,Sun,P16,20
Blue,Blue Smurfs,2,Sun,O16,10
Blue,Blue Smurfs,2,Sun,L17,14
Blue,Blue Smurfs,2,Sun,M17,19
Blue,Blue Smurfs,2,Sun,N19,9
Blue,Blue Smurfs,2,Sun,N20,10
Blue,Blue Smurfs,2,Sun,D1,45
Blue,Blue Smurfs,2,Sun,E2,10
Blue,Blue Smurfs,2,Sun,J1,35
Blue,Blue Smurfs,2,Sun,J8,40
Blue,Blue Smurfs,2,Sun,F9,21
Blue,Blue Smurfs,2,Sun,H13,16
Blue,Blue Smurfs,2,Sun,G14,12
Blue,Blue Smurfs,2,Sun,A16,5
Blue,Blue Smurfs,2,Sun,A16,19
Blue,Blue Smurfs,2,Sun,F18,15
Blue,Blue Smurfs,2,Sun,J18,10
Blue,Blue Smurfs,2,Sun,D10,13
Blue,Blue Smurfs,3,Sun,S1,12
Blue,Blue Smurfs,3,Sun,K3,10
Blue,Blue Smurfs,3,Sun,N4,8
Blue,Blue Smurfs,3,Sun,K6,11
Blue,Blue Smurfs,3,Sun,P6,6
Blue,Blue Smurfs,3,Sun,P6,2
Blue,Blue Smurfs,3,Sun,K7,11
Blue,Blue Smurfs,3,Sun,Q7,9
Blue,Blue Smurfs,3,Sun,P8,9
Blue,Blue Smurfs,3,Sun,K10,8
Blue,Blue Smurfs,3,Sun,M10,8
Blue,Blue Smurfs,3,Sun,R10,3
Blue,Blue Smurfs,3,Sun,M11,7
Blue,Blue Smurfs,3,Sun,M11,7
Blue,Blue Smurfs,3,Sun,R11,7
Blue,Blue Smurfs,3,Sun,R11,3
Blue,Blue Smurfs,3,Sun,K15,11
Blue,Blue Smurfs,3,Sun,O15,12
